system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.0019834444,0.004429942,0.8829962,0.88404226,0.84439725,0.88940954,0.88742614,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.029772138,0.0072596534,0.8756172,0.8479004,0.8478049,0.8531047,0.8828769,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,-0.004833824,-0.0039565032,0.8582817,0.8515271,0.82663095,0.859159,0.8543252,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.030856954,0.0028922202,0.899553,0.90456104,0.9009585,0.87158823,0.9024452,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.0015630892,0.02442454,0.8501383,0.8420645,0.82586026,0.8729997,0.87456286,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.00864337,-1.5226449E-4,0.8496525,0.83513,0.8178398,0.8408569,0.8495003,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.013845797,0.11028245,0.76357496,0.8301429,0.8535723,0.86001164,0.8738574,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.0033485063,0.04118458,0.6619679,0.67332613,0.6952772,0.69980395,0.7031525,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.034618825,0.0029934878,0.86328274,0.85310733,0.81098545,0.90089506,0.8662762,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.0093243355,0.009200626,0.89412576,0.8879169,0.8814753,0.8940021,0.9033264,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.004448321,-0.0048841937,0.828396,0.8085255,0.77781886,0.8190635,0.82351184,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.0032984207,-0.015036024,0.8927886,0.8732004,0.8538949,0.87445414,0.87775254,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.008321505,-0.0059821005,0.87600744,0.87026334,0.82804567,0.8617038,0.87002534,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.0020914713,-0.0035824636,0.8652671,0.8444803,0.83321923,0.85959315,0.8616846,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.020643493,0.07439716,0.5821271,0.55987054,0.5878944,0.63588077,0.6565243,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.04228282,0.009719138,0.90123457,0.8770244,0.86751413,0.8686709,0.9109537,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.05937625,0.052265413,0.83465576,0.8303092,0.8371635,0.8275449,0.88692117,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.025350926,0.006175366,0.8991202,0.8925321,0.8890825,0.8799447,0.9052956,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,0.007632268,-0.0059592137,0.9043977,0.9026352,0.88756204,0.8908062,0.8984385,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.05576446,-0.034097854,0.85893327,0.8357143,0.8217469,0.7690709,0.8248354,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.03675493,0.0042123543,0.8839273,0.87986267,0.8771234,0.8513847,0.8881396,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.03298205,0.046981554,0.84586376,0.84638906,0.8297566,0.8598633,0.89284533,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,-0.079969995,0.001915097,0.39183056,0.34213167,0.34808177,0.47371566,0.39374566,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.024368234,0.0033592037,0.8886827,0.8725597,0.8652291,0.8676737,0.8920419,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.042837776,0.01757122,0.8626466,0.84006816,0.8181818,0.83738,0.8802178,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.015203595,0.008777296,0.8705688,0.86827177,0.8637933,0.86414254,0.87934613,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.019910237,0.00995866,0.88111323,0.87250775,0.8722763,0.87116164,0.89107186,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0.07717752,0.05774668,0.83299017,0.82309365,0.78865707,0.8135593,0.8907368,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,0.015977358,0.024415724,0.83699733,0.83992547,0.8136322,0.8454357,0.86141306,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.009058262,-3.2968592E-4,0.8339831,0.79986614,0.75015444,0.82459515,0.8336534,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.06062027,0.036651727,0.8396819,0.83237296,0.83406955,0.8157134,0.87633365,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.010302893,0.016474577,0.85271925,0.85663176,0.84573454,0.8588909,0.8691938,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.012721894,0.017671596,0.8680623,0.87090844,0.8509637,0.873012,0.8857339,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.039544392,0.010154606,0.84410894,0.82611525,0.7546725,0.8147192,0.85426354,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.0031675955,-0.0063735126,0.87626415,0.8555122,0.82872194,0.866723,0.86989063,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.0110653145,0.015412462,0.8519845,0.838071,0.78770393,0.85633165,0.86739695,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,-0.0062473724,-0.030357223,0.8650052,0.8394897,0.8055681,0.84089535,0.83464795,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.03591365,0.008908985,0.87083787,0.85677904,0.8417438,0.8438332,0.87974685,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.01139346,0.01077408,0.8556083,0.84796196,0.80456024,0.85498893,0.86638236,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.027085666,0.00595002,0.89878654,0.8868643,0.87556285,0.8776509,0.9047366,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.022174058,0.03593314,0.8494238,0.82336956,0.8004123,0.8631829,0.88535696,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.014721461,0.008719425,0.76589984,0.75888926,0.7305769,0.7598978,0.7746193,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.040941298,0.032534055,0.8358045,0.8383615,0.8208955,0.8273973,0.8683386,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0.014345749,0.03906276,0.8559242,0.85697484,0.80794466,0.88064116,0.8949869,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,-0.042478856,-0.116149396,0.82355917,0.7445983,0.6895307,0.7498886,0.70740974,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0.03968477,0.0069631087,0.8609459,0.827316,0.8246405,0.82822424,0.867909,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0.026694795,0.0069820117,0.8420746,0.8284924,0.82330203,0.8223618,0.8490566,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,0.015497129,0.011483021,0.8211553,0.8208114,0.7744207,0.8171412,0.8326383,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,-0.0071012154,-0.011902841,0.8429613,0.82764506,0.79786634,0.8381597,0.83105844,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.057962067,3.316691E-4,0.8986486,0.88919526,0.88393074,0.84101826,0.8989803,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,0.02853722,-0.025691077,0.8449198,0.82662195,0.81013364,0.7906915,0.8192287,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,5.1150576E-4,-0.030055907,0.7881053,0.77170473,0.7429338,0.7575379,0.75804937,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.05820555,0.041408576,0.83468837,0.8339503,0.81220657,0.81789136,0.8760969,"{""type"":""MultiPoint"",""coordinates"":[]}"
