system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.019021055,0.06850112,0.19875453,0.35056365,0.24427888,0.28627673,0.26725566,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.014320999,0.08229404,0.17640385,0.1838565,0.18576844,0.2443769,0.2586979,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.030692881,0.41623577,0.32342622,0.37062937,0.3896624,0.7089691,0.739662,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.17506126,0.067297585,0.39497015,0.52959555,0.58063895,0.637329,0.46226773,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,-0.04283317,0.041383643,0.2581057,0.32731748,0.27787694,0.3423225,0.29948935,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.026142614,0.1764266,0.32816774,0.40312877,0.46107092,0.47845173,0.5045943,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.07876062,-0.056583412,0.35856992,0.3867749,0.4170072,0.38074714,0.30198652,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.009178195,0.02011065,0.16936979,0.15197779,0.26552656,0.18030225,0.18948044,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.01346281,0.20683643,0.2884974,0.3634895,0.48093024,0.50879663,0.49533382,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.21386269,-0.06459611,0.37166938,0.32416165,0.3111812,0.52093595,0.30707327,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.04428935,0.14606328,0.277897,0.36220142,0.3843458,0.37967092,0.42396027,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.22194487,0.33722126,0.15264188,0.17462422,0.29647782,0.2679183,0.48986316,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.014370763,0.041922536,0.30925804,0.30910203,0.33100826,0.3368098,0.35118058,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.20255667,0.075827435,0.29765484,0.29217905,0.31754756,0.17092562,0.3734823,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,-0.14760953,-0.078758694,0.65334064,0.5920807,0.62159604,0.72219145,0.5745819,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,-0.06458282,0.2860458,0.40219533,0.6260467,0.64863,0.75282395,0.6882411,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.052633207,0.1628074,0.38468722,0.44293347,0.47242695,0.49486142,0.54749465,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.048451316,0.32696283,0.20795779,0.3164557,0.41835147,0.48646933,0.53492063,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.06714227,-0.07634128,0.6410077,0.66073674,0.6004994,0.6318087,0.5646664,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,-0.010432215,-0.02957004,0.4472212,0.50540733,0.43287492,0.42808336,0.41765115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,-0.06885472,-0.008346075,0.1738894,0.16816562,0.19005774,0.23439804,0.16554332,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.07217074,0.15228501,0.45998007,0.5614392,0.5753331,0.5400943,0.6122651,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,-0.04469962,0.15437847,0.38581732,0.3582822,0.44309112,0.58489543,0.54019576,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,-0.22917452,-0.20112996,0.69193155,0.757881,0.70704466,0.7199761,0.49080157,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.04409011,-0.011603691,0.6189122,0.66518354,0.48094374,0.5632184,0.6073085,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,-0.044644207,0.10001415,0.13277052,0.3335433,0.21309412,0.2774289,0.23278469,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,-0.085651614,-0.20048037,0.55888146,0.572994,0.425107,0.4440527,0.3584011,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,-0.0116766365,0.022037735,0.79106855,0.83111113,0.82578397,0.82478297,0.8131063,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,-0.08795395,0.053516272,0.23632061,0.26906908,0.364539,0.37779084,0.28983688,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,-0.027976777,-0.042641956,0.6765217,0.6902011,0.6315323,0.66185653,0.6338798,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,-0.0073453933,-0.08072305,0.7617908,0.7910136,0.71800596,0.6884132,0.68106776,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.088809095,0.17895706,0.23869945,0.20766358,0.49328214,0.3288474,0.4176565,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,-0.054772094,0.08117978,0.2728575,0.38748336,0.5289752,0.40880936,0.35403726,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,-0.032139823,0.16140778,0.20424059,0.25520262,0.3152142,0.3977882,0.3656484,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,-0.096090645,0.10672596,0.15452273,0.1817095,0.30803666,0.35733932,0.26124868,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,-0.029479854,0.024636723,0.778798,0.8141264,0.80798054,0.8329146,0.8034347,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,-0.014869123,0.10620973,0.31006062,0.29520932,0.393543,0.43113947,0.41627035,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.03822517,0.25051016,0.5175411,0.6155805,0.5371953,0.72982615,0.76805127,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,-1.1365293E-4,0.21468055,0.3383374,0.57849216,0.41338813,0.5531316,0.553018,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,-0.09431143,0.07537295,0.19857796,0.33540168,0.36906424,0.36826235,0.2739509,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.077364445,0.271025,0.42091435,0.6471018,0.70233876,0.6145749,0.69193935,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.056721114,0.06503014,0.3432425,0.40734556,0.34215993,0.35155153,0.40827265,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,-0.0037115072,-0.016177604,0.28247967,0.25818503,0.35148516,0.27001357,0.26630205,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0.10387567,0.32959792,0.37327525,0.6168209,0.73440915,0.5989975,0.7028732,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,0.02366076,0.029322578,0.61895806,0.6090021,0.5976673,0.6246199,0.6482806,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0.08943929,0.052481815,0.49068984,0.5263158,0.536222,0.45373237,0.54317164,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,-0.08779999,0.018653952,0.30274418,0.3442377,0.34341377,0.4091981,0.32139814,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,0.014153061,-0.0150792,0.67343485,0.68059576,0.67117673,0.6442026,0.65835565,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0.123822,0.26919693,0.19127516,0.23821779,0.23789474,0.33665007,0.46047208,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.051811893,0.24166222,0.2910934,0.4811417,0.53126067,0.48094374,0.5327556,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,-0.0035458256,0.025718797,0.37524077,0.40832317,0.35968766,0.40450537,0.40095955,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,0.0012452847,-0.048025656,0.1631696,0.13837375,0.072278135,0.11389864,0.11514393,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.10371181,0.16245526,0.2624193,0.43642515,0.35712278,0.32116276,0.42487457,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,-0.0054266257,0.020986132,0.14831284,0.19281046,0.19590686,0.1747256,0.16929898,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.037033387,0.036565114,0.6536732,0.6663415,0.59351933,0.6532049,0.6902383,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,0.0070644445,0.10069453,0.5413333,0.5747912,0.5907501,0.6349634,0.64202785,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,-0.10566744,-0.0977833,0.73748916,0.8032897,0.71414554,0.7453733,0.6397059,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,0.55630344,-0.10974046,0.19839142,0.31842554,-0.15165336,-0.4676525,0.088650964,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,0.0333286,-0.03151042,0.56924254,0.59466875,0.46778917,0.50440353,0.5377321,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,-0.059152056,0.058550734,0.1814203,0.28274053,0.2827674,0.29912308,0.23997104,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0,0.03767486,0.013155983,0.7173293,0.69630724,0.6997143,0.6928105,0.7304853,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0,0.055376157,0.11016297,0.32943925,0.43637472,0.3896123,0.38422605,0.43960223,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0,-0.0028952863,-0.014238816,0.2653885,0.4395341,0.316725,0.25404498,0.25114968,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0,-0.03420831,0.032124624,0.17805383,0.2695783,0.27622184,0.24438676,0.21017845,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,0.30373445,0.18115158,0.33414534,0.45429024,0.2596401,0.2115625,0.51529694,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0,-0.037810124,0.011739426,0.66473615,0.71551436,0.7164325,0.71428573,0.6764756,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0,-0.15618068,0.05627292,0.13310352,0.29399633,0.25078207,0.34555712,0.18937644,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0,0.043351784,-0.07002894,0.5174287,0.58033293,0.4340919,0.40404797,0.44739977,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0,0.017571317,0.032291524,0.77781904,0.81556004,0.7801282,0.79253924,0.81011057,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,-0.0031311056,-0.10881707,0.6872332,0.6851562,0.63067293,0.58154726,0.57841617,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0,-0.0071805897,0.21150085,0.2197064,0.2665396,0.40684158,0.43838784,0.43120724,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0,-0.007088719,0.34450412,0.5222296,0.8698679,0.5521472,0.87382245,0.86673373,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0,0.0052614515,0.21927902,0.32029977,0.4029079,0.5416515,0.5343173,0.5395788,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0,0.07440817,0.28708765,0.34437788,0.43860722,0.48276436,0.5570573,0.6314655,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0,-0.019932905,-0.007838262,0.75628334,0.7825774,0.7807638,0.76837796,0.74844503,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0,0.005902854,0.2565533,0.3440073,0.49511233,0.5724563,0.5946578,0.6005606,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0,0.008897377,0.07997523,0.6718885,0.71459776,0.72437036,0.7429663,0.75186366,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0,0.10761215,0.06553052,0.39104673,0.44004014,0.39980322,0.3489651,0.45657727,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0,0.039547253,0.017158978,0.2637299,0.22648382,0.2354913,0.24134164,0.2808889,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0,0.024188044,0.043904107,0.2357513,0.26844585,0.2546973,0.25546736,0.2796554,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0,-0.0062018707,0.036373824,0.27568585,0.27608103,0.34061137,0.31826153,0.31205967,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0,0.013852344,0.12932068,0.58255035,0.6377267,0.60863376,0.69801867,0.711871,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0,0.015201015,0.16552696,0.29979745,0.3652174,0.42220756,0.45012337,0.46532437,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0,1.2077045E-4,0.052993376,0.30588707,0.394215,0.47103488,0.3587597,0.35888046,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0,-0.01479977,-0.09580923,0.77440095,0.6530104,0.595096,0.6933915,0.6785917,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0,-0.07156023,0.022882018,0.33753315,0.49630207,0.42138365,0.4319754,0.36041516,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0,-0.09203618,-0.059461076,0.27088964,0.3201559,0.32783622,0.30346474,0.21142857,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0,-0.056285415,-0.04249062,0.477842,0.5101081,0.42707118,0.4916368,0.43535137,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0,-0.018518182,0.06223298,0.2761585,0.35997778,0.29618034,0.3569097,0.3383915,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0,0.0024702626,0.14512002,0.2528048,0.34213746,0.37407148,0.39545456,0.3979248,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0,-0.05471507,0.061696645,0.11665116,0.18718447,0.2128038,0.23306288,0.17834781,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0,0.02753218,0.09267182,0.34532374,0.42138153,0.44327176,0.4104634,0.43799555,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0,-0.0021707776,0.07403753,0.51876605,0.36584547,0.5780089,0.5949744,0.5928036,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0,0.05821548,0.30561274,0.32806525,0.4844823,0.59975255,0.5754625,0.633678,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0,-0.101092115,0.39459535,0.3611974,0.72094065,0.6782104,0.8568849,0.75579274,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0,0.00992944,-0.005089582,0.43663594,0.45945945,0.44159073,0.4216169,0.43154636,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0,0.37102416,0.49534443,0.3230587,0.4623656,0.48713344,0.44737896,0.8184031,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0,-0.07309741,-0.0068595475,0.19303997,0.2768407,0.27906978,0.25927782,0.18618043,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0,0.03949998,0.25998873,0.35012594,0.50651926,0.4730539,0.5706147,0.6101147,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0,0.062761985,0.063974306,0.662706,0.6128911,0.600298,0.6639183,0.72668034,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0,0.03247635,0.027861992,0.33052126,0.39504644,0.34751558,0.32590687,0.35838324,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0,0.065643705,0.13469832,0.21349256,0.2996358,0.4254208,0.28254718,0.34819087,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0,0.046703223,0.028161975,0.4827586,0.4768564,0.44090742,0.46421736,0.5109206,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0,-0.07565308,0.1703003,0.44340193,0.50436467,0.51156664,0.6893553,0.61370224,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0,-0.018898217,0.2144666,0.21657649,0.27510226,0.45240176,0.4499413,0.4310431,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0,-0.016143363,0.004832369,0.77877235,0.7973375,0.76542336,0.7997481,0.78360474,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0,0.23867464,0.26014084,0.24671786,0.32067728,0.37579617,0.26818407,0.5068587,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0,-0.07254474,0.11810417,0.2310887,0.32680294,0.3959776,0.4217376,0.34919286,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0,-0.045727212,-0.016778037,0.33633906,0.38297874,0.38800868,0.36528823,0.319561,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0,-0.21074723,0.10650743,0.26255924,0.28922582,0.46318704,0.5798139,0.36906666,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0,-0.024724005,0.39980987,0.23765044,0.43149284,0.5449669,0.6621843,0.6374603,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0,-0.07192339,0.066681296,0.26265824,0.38506117,0.3962104,0.4012629,0.32933953,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0,-0.11167935,0.20329125,0.37433305,0.59408975,0.51520085,0.68930364,0.5776243,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0,0.032632265,0.099074334,0.18660411,0.25164282,0.24557352,0.25304618,0.28567845,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0,0.10700793,0.0028762838,0.42320818,0.4143115,0.3781603,0.31907654,0.4260845,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,0,0.0020459283,0.1560634,0.19721296,0.34750143,0.30540657,0.3512304,0.35327634,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,0,-0.0032004162,0.28336906,0.24229075,0.358021,0.46140036,0.5288602,0.5256598,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,0,0.04614627,0.0071578063,0.63541245,0.66745466,0.5978348,0.596424,0.64257026,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0,0.034054864,0.17235248,0.2511976,0.3670972,0.4074837,0.38949522,0.4235501,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0,0.02024198,0.06379236,0.5570571,0.59565645,0.598267,0.60060745,0.62084943,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0,0.12904544,0.11248121,0.55076724,0.6535211,0.5182524,0.534203,0.6632484,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0,-0.10057221,0.05229903,0.33939236,0.27579558,0.4351799,0.49226362,0.3916914,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0,0.029556781,0.3622011,0.35144472,0.68407804,0.71288455,0.68408906,0.7136458,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0,0.0014041475,0.018636653,0.71058136,0.670725,0.7001913,0.72781384,0.729218,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0,0.0472819,0.39197212,0.19402587,0.43997505,0.4985498,0.5387161,0.585998,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0,-0.015825123,0.021810828,0.1725699,0.21736856,0.314226,0.21020585,0.19438073,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0,-0.0051860968,0.0341259,0.30520803,0.37033492,0.32499304,0.34452003,0.33933392,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0,0.008710372,0.07944609,0.18399356,0.26794028,0.26426923,0.2547293,0.26343966,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0,-0.025565047,0.15683702,0.33442622,0.35409084,0.43371686,0.5168283,0.49126324,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0,-0.07678637,0.23727171,0.2842377,0.29352197,0.37682864,0.5982958,0.5215094,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0,0.06175883,0.07866818,0.4084942,0.37787938,0.41088954,0.42540357,0.48716238,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0,-0.3118026,-0.6162421,0.3451761,-0.21896791,-0.24880382,0.04073661,-0.27106598,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0,0.0052377763,0.06783116,0.5525114,0.67022955,0.6111608,0.6151048,0.62034255,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0,0.058781426,0.17276344,0.21228682,0.30882353,0.36186558,0.32626882,0.38505024,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,0,-0.046997257,0.19519334,0.19181389,0.23565245,0.34696195,0.4340045,0.3870072,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0,-0.05805435,0.040000945,0.2789402,0.2849783,0.37704012,0.3769955,0.31894115,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0,-0.02442156,0.05700896,0.38688132,0.41335177,0.37050417,0.46831185,0.44389027,"{""type"":""MultiPoint"",""coordinates"":[]}"
