system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,0.026001288,0.13841748,0.26308784,0.49244398,0.3754722,0.37550405,0.40150532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,-0.021451535,0.22507504,0.14852676,0.27350074,0.33450174,0.39505333,0.3736018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,-0.017130572,0.024324873,0.62665063,0.71915656,0.69038135,0.6681061,0.6509755,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.021390209,0.10951668,0.2200365,0.38443562,0.58504957,0.3509434,0.3295532,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.12469845,0.1819696,0.4036568,0.6760608,0.4829932,0.46092796,0.5856264,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.24763048,0.2737942,-0.13535912,-0.23774955,-0.045207955,-0.109195404,0.13843508,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.054388043,0.10863419,0.19810255,0.4532421,0.26625156,0.2523487,0.30673674,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.028267728,0.1013648,0.35414237,0.4920267,0.40156496,0.42723942,0.45550716,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.3119974,0.3031909,0.29038608,0.6017427,0.25404957,0.28157952,0.59357697,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.072806485,0.19920336,0.15113351,0.47765958,0.33971292,0.42314336,0.35033685,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,-0.010581464,0.1598355,0.13995485,0.26828045,0.22357723,0.31037182,0.29979035,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.051696286,0.18687673,0.516637,0.6368229,0.66500556,0.65181744,0.70351374,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.12536174,0.12625197,0.3389291,0.6563518,0.7032818,0.3398193,0.46518105,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.16409858,0.24778062,0.39603823,0.68744916,0.49274075,0.4797203,0.64381886,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.14563712,0.14009844,0.54498297,0.666382,0.5814489,0.53944427,0.6850814,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.07976874,0.1289613,0.0764948,0.010362694,0.17623565,0.12568735,0.2054561,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.008366657,-0.17264402,0.61774534,0.4969325,0.5510204,0.4367347,0.44510135,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.1687237,0.1140765,0.566185,0.7652299,0.61664563,0.5115378,0.6802615,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,0.059196666,0.12563501,0.26255187,0.5721789,0.34787568,0.32899022,0.3881869,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,-0.012784159,-0.023185285,0.6088475,0.61458015,0.6716585,0.59844637,0.5856622,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.0815267,0.19298838,0.3397962,0.52780807,0.5516539,0.45125785,0.5327846,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,-0.033715066,0.24568458,0.38339704,0.6819732,0.5663019,0.6627967,0.6290816,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,-0.06265898,0.08965855,0.44003916,0.5983911,0.5336882,0.5923567,0.5296977,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.022938097,0.03427866,0.41430745,0.37547758,0.4172448,0.42564803,0.4485861,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.043180592,-0.0064248303,0.6433675,0.69340235,0.6380176,0.68012327,0.6369427,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.31219003,0.3924933,0.16072059,0.2407669,0.28653198,0.24102388,0.5532139,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,-0.10729155,-0.061109353,0.5931419,0.55681974,0.3845701,0.6393241,0.53203255,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,-0.17109329,0.09950033,0.2901918,0.55695444,0.404083,0.5607854,0.38969213,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,-0.006975961,0.032253508,0.6275862,0.7222222,0.69534355,0.6668157,0.6598397,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.047643762,0.23842935,0.49108282,0.75222325,0.6955563,0.6818684,0.72951216,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.07681783,0.102991216,0.23945162,0.23825452,0.20382586,0.265625,0.34244284,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.06553418,0.2520517,0.41383612,0.600157,0.47478932,0.60035366,0.66588783,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.019130958,0.124321945,0.101459,0.2055074,0.2961838,0.20664999,0.22578093,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,-0.16430706,0.14147261,0.26113608,0.65736127,0.47080344,0.56691575,0.4026087,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.007531044,0.045729082,0.27212572,0.372656,0.33733368,0.31032377,0.31785482,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,-0.03224851,0.22023933,0.36047345,0.5446696,0.31166518,0.6129613,0.5807128,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,-0.004039293,0.04447062,0.46454626,0.5479758,0.48047152,0.51305616,0.5090169,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,-0.061986107,0.03170004,0.45621753,0.48763523,0.6334214,0.54990363,0.48791754,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.0438356,0.07657885,0.31254822,0.39772728,0.3752256,0.34529147,0.38912708,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,-0.14973271,-0.14053454,0.4181146,0.30813396,0.30780944,0.42731276,0.27758008,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,-0.073016904,0.014603701,0.22651933,0.7466178,0.6384346,0.31413993,0.24112304,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.09316248,0.2215648,0.19408081,0.3308351,0.3590627,0.32248315,0.41564563,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.037162345,0.10230725,0.1053391,0.21641864,0.15601504,0.170484,0.20764636,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0.050123587,0.14651096,0.562262,0.7066917,0.64709336,0.6586494,0.708773,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,0.009939434,0.15718569,0.3834624,0.52854514,0.5531915,0.5307087,0.5406481,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,-0.051139988,0.22433947,0.37402767,0.59313256,0.57789063,0.6495071,0.59836715,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,-0.004956187,0.21001886,0.38803625,0.49686253,0.4978166,0.6030113,0.5980551,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,7.7967235E-4,0.099387564,0.19480798,0.39218625,0.34351483,0.29341587,0.29419553,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0.08268869,0.17084478,0.39183223,0.6046911,0.4937595,0.4799883,0.562677,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.033258088,0.22132137,0.5708355,0.7700048,0.7921466,0.7588988,0.7921569,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,-0.054289978,0.10387962,0.53571427,0.7229255,0.6388889,0.6938839,0.6395939,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,-0.060154315,0.09923626,0.13339466,0.49787635,0.2076361,0.29278523,0.23263092,"{""type"":""MultiPoint"",""coordinates"":[]}"
