system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.008446562,-0.04216925,0.49214026,0.5280121,0.39274135,0.45841756,0.44997102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.059079014,-0.11572686,0.53281856,0.5529682,0.3220339,0.35801268,0.41709167,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.02311477,0.09765012,0.62835854,0.6915526,0.5741388,0.7028939,0.72600865,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.006266661,0.01184121,0.11234598,0.10796165,0.092276424,0.13045385,0.12418719,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.014206043,-0.029131142,0.24643146,0.23089942,0.27409017,0.20309427,0.21730031,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,-0.16817588,-0.07226595,0.71633816,0.79789394,0.7278726,0.8122481,0.64407223,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.081491776,-0.055554044,0.20170455,0.1864739,0.13290735,0.22764228,0.1461505,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.25989527,0.1704184,0.5811127,0.4370006,0.7562108,0.4916358,0.75153106,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.08216164,-0.025724264,0.7769595,0.78024006,0.7143186,0.83339685,0.75123525,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.026049873,0.004009632,0.6946695,0.64328116,0.672,0.724729,0.69867915,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,-0.1929793,-0.14400375,0.7823897,0.8314678,0.76303715,0.8313652,0.63838595,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.058594003,0.059979264,0.13915586,0.16723007,0.16386555,0.14054114,0.19913514,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,-0.05387012,-0.07151851,0.22143033,0.19471103,0.15537395,0.20378193,0.14991182,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,-0.03688247,-0.022154836,0.23893805,0.22487223,0.1810166,0.2536657,0.21678321,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,-0.08580109,0.13148148,0.09786184,0.19668649,0.071383335,0.31514442,0.22934332,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,-0.033683144,-0.11491567,0.244114,0.168979,0.123947054,0.16288148,0.12919833,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.13166173,0.110530004,0.26234952,0.2066208,0.19889818,0.24121779,0.37287953,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,-0.058199376,-0.03428156,0.16434304,0.15923946,0.123827845,0.18826087,0.13006149,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.014455977,-0.037829284,0.34444445,0.31604025,0.28364205,0.32107115,0.30661517,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.002345364,-0.07253915,0.262049,0.18964803,0.19310413,0.18716447,0.18950984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,-0.003251812,-0.03978755,0.16425532,0.1564952,0.14343353,0.12771958,0.12446777,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,-0.092280075,0.1797307,0.016157536,0.28005373,0.21396303,0.2881683,0.19588824,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.058249384,0.06974713,0.7665802,0.8055164,0.7444668,0.77807796,0.8363274,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,-0.028477106,-0.033302035,0.38078704,0.36638454,0.3911939,0.3759621,0.347485,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.07662264,-0.003129822,0.7249197,0.7186201,0.6727535,0.7984125,0.7217899,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,-0.0290399,-0.06821538,0.23219815,0.24511819,0.22047074,0.19302267,0.16398276,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.039059587,0.06370826,0.28425503,0.3051095,0.29835,0.3089037,0.34796327,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,-0.037356794,-0.044111036,0.19443063,0.21145271,0.18916458,0.18767639,0.15031959,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,-0.035512216,-0.0906683,0.22757848,0.16623682,0.12412945,0.1724224,0.13691017,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,-0.018328259,-0.022576716,0.1459517,0.16136321,0.1409396,0.14170325,0.12337499,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.39068297,0.21832167,0.54881597,0.5359134,0.6821881,0.37645468,0.76713765,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.056188665,0.16555679,0.06488493,0.17833199,0.20228128,0.17425306,0.23044172,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.013763976,0.022527713,0.15283123,0.17134269,0.14706582,0.16159496,0.17535894,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,-0.010066876,-0.03473938,0.30995935,0.25978485,0.20063192,0.28528684,0.27521998,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,-0.045385692,0.26200184,-0.03876582,0.23764853,0.26462805,0.2686217,0.22323601,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,-0.048579477,-0.0074314014,0.19407639,0.18892014,0.13270637,0.23522446,0.18664499,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.083779015,0.1862937,0.66247755,0.6098081,0.7371376,0.76499224,0.8487713,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.09525898,0.11992062,-0.002872646,0.0591716,0.11237734,0.02178899,0.11704797,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.05384135,0.043450367,0.32101166,0.37336814,0.33316287,0.3106207,0.36446205,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,-0.016895717,0.045502134,0.1200839,0.17434545,0.17492768,0.18248175,0.16558604,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.26996124,0.3183415,0.44805196,0.3763371,0.71926004,0.49643221,0.7663934,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,-0.03263989,-0.08600436,0.23157619,0.18325883,0.1488296,0.17821172,0.14557183,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,-0.012466021,-0.059217338,0.16371173,0.15260643,0.11765303,0.11696041,0.104494385,"{""type"":""MultiPoint"",""coordinates"":[]}"
