system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,0.0024347564,0.020052854,0.74626076,0.7382853,0.74797606,0.7638789,0.7663136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.03820066,0.11822651,0.4194079,0.4372653,0.5189624,0.49943376,0.53763443,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.01347319,0.014018191,0.84811074,0.83705986,0.84536624,0.84865576,0.8621289,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.011908438,-0.016261233,0.8095983,0.8191161,0.8387605,0.8052455,0.7933371,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.041494176,0.02345876,0.8558916,0.83767927,0.8553489,0.8378562,0.87935036,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,-0.054290645,-0.031376854,0.7177601,0.7464243,0.751814,0.7406739,0.68638325,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.07736553,-0.050409045,0.5497149,0.47155306,0.41792887,0.5766714,0.49930587,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,-0.030651735,0.046163257,0.37403053,0.41182518,0.47646052,0.4508455,0.4201938,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.023013135,-0.039917942,0.6406894,0.6233232,0.5872325,0.6237846,0.6007714,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.06921767,-0.10617976,0.69653654,0.7123002,0.6798942,0.65957445,0.5903568,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,-0.03214059,0.047861513,0.25562328,0.2386511,0.26455942,0.33562538,0.30348477,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,-0.07173586,0.014511599,0.23084156,0.24035248,0.3084519,0.31708902,0.24535316,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,-0.050910305,0.022059917,0.5227563,0.55184793,0.5569782,0.5957265,0.5448162,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.013551261,0.14723909,0.2771673,0.28300732,0.40867025,0.4108551,0.42440638,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,-0.12277393,-0.12834625,0.6475248,0.59041953,0.5977514,0.6419524,0.5191785,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.010179055,0.0626732,0.7810611,0.7823129,0.821574,0.8335553,0.8437343,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,-0.0046611805,0.12743084,0.55503666,0.5716198,0.60924226,0.6871287,0.6824675,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.03521803,0.049912557,0.4785652,0.51432973,0.5317008,0.4932597,0.5284777,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.052969463,-0.01092446,0.7286992,0.72462976,0.7597696,0.7707442,0.71777475,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.045939196,0.058997408,0.64547837,0.55757767,0.6996721,0.6585366,0.70447576,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,-0.056245416,0.05543528,0.42775276,0.44977814,0.5165957,0.5394335,0.48318803,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,-0.028049173,0.05764706,0.26119766,0.29532164,0.35579622,0.3468939,0.31884474,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,-0.17287354,-0.094740406,0.600076,0.6233647,0.6813067,0.6782092,0.5053356,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,-0.20836663,-0.049006313,0.37737343,0.4082236,0.37102574,0.53673375,0.3283671,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.12606744,-0.005665885,0.43661973,0.437046,0.44414055,0.55702126,0.43095383,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,-0.0025152082,0.12548229,0.6135484,0.5958793,0.705104,0.7415459,0.73903066,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.0056329914,0.036124412,0.4363445,0.41284934,0.4117647,0.46683592,0.4724689,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0.039221697,-0.039187122,0.6943218,0.65847814,0.62139916,0.615913,0.6551347,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,-0.0060463147,-0.008128213,0.48753226,0.47484094,0.48823443,0.48545036,0.47940403,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.07856919,0.1055876,0.51100886,0.50064266,0.49590722,0.5380273,0.61659646,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,-0.04717082,-0.0526016,0.6420382,0.6375363,0.6278057,0.63660747,0.5894366,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.027292855,0.024154471,0.51006126,0.47944033,0.49985856,0.50692284,0.5342157,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,-0.07774912,-0.014759121,0.67019755,0.712549,0.7350107,0.73318756,0.6554384,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.07511036,0.18890475,0.28373963,0.47581074,0.5304955,0.397534,0.4726444,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,-0.027489914,0.04017273,0.27317607,0.2957849,0.2914956,0.34083873,0.3133488,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,-0.04918082,0.020651758,0.49196345,0.50617284,0.5371601,0.561796,0.5126152,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,-0.027301554,-0.092135265,0.55457693,0.5192427,0.52293855,0.4897432,0.46244165,"{""type"":""MultiPoint"",""coordinates"":[]}"
