system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,0.021214219,0.054464873,0.80195993,0.8267307,0.843372,0.83521056,0.8564248,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,-0.07624848,-0.046695836,0.62154984,0.64690495,0.6764191,0.6511025,0.57485396,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,-0.012382278,0.016872348,0.8493116,0.8452921,0.8443287,0.8785662,0.86618394,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.04384068,-0.056861755,0.80431175,0.81359226,0.7503484,0.7912907,0.74745,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.12706353,0.22446895,0.4262587,0.55317247,0.47279173,0.5236641,0.6507276,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.053565353,0.004431982,0.25935596,0.27584797,0.19350283,0.21022259,0.26378796,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.069791995,-0.006221459,0.5923001,0.51117873,0.53027844,0.5162867,0.58607864,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.008984652,0.1174597,0.7273512,0.74973637,0.77991885,0.8358262,0.84481084,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.061638195,0.056024488,0.5403002,0.51302934,0.5406794,0.53468645,0.5963247,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.014520555,-4.992027E-4,0.86416626,0.85733646,0.8658354,0.8491465,0.8636671,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.04181376,-0.0026827632,0.81220657,0.84819895,0.8066116,0.76771003,0.8095238,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.34051853,0.034417026,0.7250959,0.7893717,0.74835736,0.41899443,0.75951296,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.060997088,-0.0027532196,0.36005658,0.39089876,0.34968722,0.29630628,0.35730338,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.042385653,0.019422937,0.7843378,0.75265557,0.7821711,0.7613751,0.80376077,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.012181718,-0.013093629,0.85090524,0.8431842,0.8536115,0.8256299,0.8378116,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.07201442,0.010799545,0.7650625,0.6034091,0.77710843,0.70384765,0.7758621,"{""type"":""MultiPoint"",""coordinates"":[]}"
