system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,0.004837468,0.059892334,0.2172614,0.22169319,0.26479077,0.27231628,0.27715373,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.011340956,0.07115206,0.18471688,0.17830992,0.2134238,0.24452798,0.25586894,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.0031201565,0.021395313,0.74626076,0.7382853,0.7468175,0.7645359,0.7676561,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.020164283,0.11261134,0.18622087,0.21318845,0.30707908,0.27866793,0.2988322,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,-2.7537006E-5,0.109857805,0.3340863,0.3253502,0.41121176,0.44397163,0.4439441,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,-0.105819166,0.00814235,0.24271844,0.23343773,0.268945,0.35667995,0.2508608,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.03988412,-0.0052325535,0.15938741,0.15163381,0.18341307,0.19403897,0.15415485,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,-0.054413915,0.012725708,0.107442215,0.1179624,0.16533214,0.17458184,0.120167926,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.18452202,0.25517198,0.16330814,0.1445219,0.18744734,0.23395811,0.41848013,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.027180199,-0.0074117323,0.17961983,0.18938291,0.18780252,0.19938831,0.1722081,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,-0.06561387,-0.012620934,0.43389753,0.39485767,0.43970498,0.48689047,0.4212766,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,-0.07222427,0.0047416766,0.15764304,0.12445415,0.140927,0.23460898,0.16238472,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,-0.03655211,-0.14900494,0.38011387,0.41920903,0.4054138,0.26766104,0.23110893,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,-0.023636889,-0.002949641,0.21875936,0.24356775,0.23255815,0.23944661,0.21580972,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,-0.0087822005,0.1265971,0.3986624,0.36070085,0.42742476,0.5340417,0.5252595,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.00496017,0.11570893,0.17460318,0.19542778,0.22972097,0.28535193,0.2903121,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,-0.08264638,0.010217284,0.2294385,0.2327354,0.25269347,0.32230216,0.23965578,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,-0.07622887,0.09540615,0.267538,0.2142232,0.39443317,0.43917304,0.36294416,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.14464083,0.0186908,0.27702385,0.2834627,0.39916405,0.4403555,0.29571468,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,-0.07769905,0.032704588,0.19886899,0.18907231,0.28721943,0.30927262,0.23157358,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,-0.0961094,0.038674455,0.17289202,0.14905149,0.21020873,0.30767587,0.21156646,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,-0.052988857,-0.03304304,0.7200482,0.7464243,0.7528388,0.739994,0.6870051,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.050829563,0.12198605,0.27561882,0.26437557,0.28507403,0.3467753,0.39760488,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,-0.07648766,-0.053475313,0.5497149,0.46919632,0.41009372,0.57272726,0.4962396,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.04681775,0.07002499,0.32309043,0.34332746,0.4244431,0.43993318,0.39311543,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,-0.052395172,0.09715315,0.18962564,0.1918522,0.3259177,0.33917397,0.2867788,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,-0.0034771846,0.15645577,0.3341225,0.33151764,0.38700324,0.49405548,0.4905783,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,-0.12021774,0.043132376,0.391516,0.34121898,0.58016527,0.55486614,0.43464836,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,-0.14774029,-0.06292695,0.46882758,0.51422447,0.5295963,0.5536409,0.40590063,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.0023940983,0.08907233,0.28475034,0.27218345,0.3448928,0.37142858,0.37382266,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,-0.0061422396,0.027362814,0.7592593,0.75796634,0.7746728,0.7927643,0.78662205,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,-0.010172929,0.13995206,0.31139097,0.3550864,0.39148557,0.46151596,0.45134303,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,-0.08390375,0.11582725,0.40056023,0.4863222,0.591649,0.60029125,0.51638746,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.00847538,0.039119706,0.29770353,0.27192983,0.30890277,0.32834786,0.33682325,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,-0.040139224,0.15135418,0.25845736,0.25135213,0.33446404,0.44995078,0.40981156,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,-0.031042721,0.053841706,0.37403053,0.41043434,0.47646052,0.45891497,0.42787224,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.038980898,0.04843716,0.41079393,0.48222923,0.49207655,0.4202502,0.4592311,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,-0.10490295,0.02247505,0.2603517,0.2694856,0.34842646,0.38772967,0.28282672,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,-0.016342865,0.011343473,0.15095286,0.14681885,0.18580489,0.1786392,0.16229632,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,-0.0607959,0.08834414,0.17723931,0.2136799,0.2822139,0.32637936,0.26558346,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.42765176,-0.16070877,0.2043489,0.22518452,0.24122807,-0.38401163,0.043640126,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,-0.18083946,0.13767542,0.19801137,0.1916965,0.31822416,0.5165262,0.33568677,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,-0.024237107,0.089234725,0.18659094,0.19468242,0.24696873,0.30006278,0.27582568,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,-0.013964003,0.03703932,0.7260522,0.75739247,0.7712833,0.77705556,0.76309156,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,-0.09273619,-0.12557565,0.69653654,0.7123002,0.6703079,0.6636971,0.5709609,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,-0.04451248,0.008420241,0.32144848,0.34203064,0.3681696,0.37438118,0.3298687,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,-0.0077356966,0.017766798,0.7306459,0.7005543,0.72772485,0.7561484,0.74841267,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,-0.08404631,0.07267214,0.43985194,0.4239936,0.49485353,0.5965704,0.51252407,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,-0.046747204,0.074472114,0.20587002,0.19548447,0.24396029,0.32708934,0.28034213,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,-0.14670332,-0.023353467,0.1399238,0.14374098,0.22376283,0.26327363,0.11657033,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,-0.008583674,0.06859456,0.4172553,0.43972835,0.4491988,0.49443352,0.48584986,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,-0.025153533,0.0154262865,0.18457371,0.16949634,0.22170433,0.22515354,0.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.015899312,-0.04691115,0.22263451,0.17587258,0.18885988,0.15982404,0.17572336,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,-0.11283176,0.051056318,0.21984582,0.18493481,0.34688038,0.3837339,0.27090213,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,-0.07173586,0.014511599,0.23084156,0.24035248,0.3015873,0.31708902,0.24535316,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,-0.07964014,0.009512759,0.27858102,0.2715805,0.31570664,0.36773393,0.28809378,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,-0.13360251,-0.07784662,0.48174575,0.48053467,0.41656545,0.53750163,0.40389913,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,0.057824913,0.13065676,0.2794694,0.26861623,0.41043368,0.35230127,0.41012618,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,-0.041271154,0.016836248,0.5227563,0.55184793,0.5569782,0.58086365,0.5395925,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0.016681122,0.15036896,0.2771673,0.28300732,0.40567884,0.4108551,0.42753622,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0,-0.07487549,0.040519778,0.23700887,0.30430353,0.3520205,0.35240415,0.27752864,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0,-0.08029924,0.07016632,0.22989808,0.27001917,0.32521626,0.38036364,0.30006438,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0,-0.08154013,-0.027622376,0.29093432,0.24207942,0.29152942,0.34485206,0.26331195,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0,-7.029534E-4,0.020033835,0.24218272,0.24433576,0.243663,0.2629195,0.26221654,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,0.0894111,0.0297365,0.425706,0.44029266,0.44998637,0.36603138,0.4554425,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0,0.010032404,0.06452465,0.7810611,0.78677464,0.82312924,0.83555335,0.84558576,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0,0.008230552,0.0718806,0.3072555,0.28806835,0.35328346,0.37090558,0.37913612,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0,-0.030734183,0.03949065,0.23769553,0.24256718,0.30221456,0.30792037,0.2771862,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0,0.038515188,0.05320971,0.4785652,0.51432973,0.53120804,0.4932597,0.5317749,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,-0.028881146,0.032513402,0.10377601,0.12064965,0.15506205,0.16517055,0.13628942,"{""type"":""MultiPoint"",""coordinates"":[]}"
