system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.11586173,0.09196629,0.2545825,0.4877311,0.4480265,0.4624105,0.34654877,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,-0.113801636,0.08473749,0.5193185,0.5984013,0.7300178,0.71785766,0.604056,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.055801965,0.3010087,0.36824325,0.6169728,0.515438,0.61345,0.6692519,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.00967715,0.20847256,0.43186995,0.622909,0.7411153,0.63066536,0.64034253,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,-0.032127086,0.1463027,0.38024062,0.5459229,0.6159601,0.5586704,0.5265433,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,-0.07435274,0.10771505,0.13605443,0.40545598,0.35299122,0.3181222,0.24376947,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.08178107,0.2787055,0.31797367,0.41029924,0.51346445,0.67846024,0.59667915,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.0881867,0.14482218,0.44157368,0.4529096,0.48225334,0.49820918,0.58639586,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.0077665793,0.35104913,0.34424886,0.7393955,0.67113274,0.70306456,0.69529796,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.113377474,0.20677108,0.42639154,0.6882898,0.6267816,0.51978517,0.6331626,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,-0.07136827,0.103831284,0.2835375,0.27177012,0.26395175,0.45873705,0.38736877,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,-0.13556376,0.10383906,0.38535413,0.4191668,0.4427795,0.624757,0.4891932,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,-0.04569594,0.280531,0.37353298,0.4387292,0.59934425,0.6997599,0.654064,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,-0.02246794,0.22293383,0.27423674,0.54757875,0.51314926,0.51963854,0.49717057,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.10141275,0.45510998,0.37873837,0.31190726,0.7381776,0.7324356,0.83384836,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,-0.20932697,0.15643881,0.19573154,0.49749392,0.31880108,0.56149733,0.35217035,"{""type"":""MultiPoint"",""coordinates"":[]}"
