system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.032736916,0.04712893,0.38607594,0.5651885,0.41832408,0.4659418,0.4332049,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.34928426,0.09607118,0.42287764,0.5781171,0.6078108,0.16966456,0.51894885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.34021333,0.08527532,0.5067437,0.4766558,0.4726248,0.25180572,0.5920191,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.031636257,0.11999869,0.5190203,0.57738096,0.6025602,0.67065525,0.639019,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,9.504081E-5,0.024122432,0.6297177,0.6564691,0.6740323,0.65374506,0.6538401,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,-6.0782547E-4,0.04220859,0.4324836,0.48704278,0.32683522,0.4753,0.4746922,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.022170447,-0.056219228,0.75734544,0.75162625,0.7330147,0.72329664,0.7011262,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,-0.06798713,0.037103053,0.4088763,0.49013263,0.43842065,0.5139665,0.44597936,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.020765694,0.090499945,0.6860215,0.76288825,0.76907086,0.7557558,0.77652144,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.019854795,0.111006275,0.6285621,0.763669,0.6997109,0.75942314,0.73956835,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.010407788,-0.0023355198,0.6534558,0.5934533,0.6342944,0.64071244,0.65112025,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,-0.047090743,-0.04647925,0.7600723,0.75134385,0.7729084,0.7606838,0.713593,"{""type"":""MultiPoint"",""coordinates"":[]}"
