system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.06802212,-0.046695836,0.62154984,0.6410869,0.6842362,0.6428761,0.57485396,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,-0.04395064,-0.06618396,0.8514344,0.8133454,0.8194034,0.8292011,0.7852505,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,-0.04384068,-0.056861755,0.80431175,0.81359226,0.74748695,0.7912907,0.74745,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.12706353,0.22446895,0.4262587,0.55317247,0.47279173,0.5236641,0.6507276,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.031641394,0.11492794,0.23024482,0.279231,0.27065426,0.31353134,0.34517273,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.053565353,0.004431982,0.25935596,0.27584797,0.19929329,0.21022259,0.26378796,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.06656142,-0.009452031,0.5923001,0.51117873,0.5308715,0.5162867,0.5828481,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.021484397,-2.3278328E-4,0.6365503,0.6343343,0.6169528,0.6148331,0.63631755,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.013656993,0.12213204,0.7273512,0.7602546,0.79245913,0.8358262,0.8494832,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.061638195,0.056024488,0.5403002,0.51302934,0.5332003,0.53468645,0.5963247,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.109091096,0.024635907,0.8020478,0.7873874,0.7775225,0.7175926,0.8266837,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.19081122,0.12098791,0.47673252,0.4915254,0.47368422,0.4069092,0.59772044,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.014520555,-4.992027E-4,0.86416626,0.85733646,0.8676141,0.8491465,0.8636671,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.02946367,0.04396494,0.63849556,0.64535344,0.61352855,0.65299684,0.6824605,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.07725228,0.020072363,0.6594341,0.6636078,0.59226245,0.60225415,0.6795064,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.060997088,-0.0027532196,0.36005658,0.39089876,0.34968722,0.29630628,0.35730338,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.042385653,0.020043675,0.7837171,0.75265557,0.7821711,0.7613751,0.80376077,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.060427606,0.0013827729,0.7628925,0.6244774,0.77710843,0.70384765,0.76427525,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.002115192,0.0026732108,0.69701463,0.7412673,0.6658246,0.701803,0.69968784,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.03386033,0.023831733,0.40875912,0.28815016,0.399692,0.39873052,0.43259084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.046269793,0.008632494,0.79150724,0.7954111,0.7903641,0.75386995,0.8001398,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.0019515861,0.014023422,0.67822665,0.48959416,0.6119601,0.6902985,0.6922501,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,-0.0022794963,0.030837802,0.24002382,0.28236893,0.26990753,0.27314112,0.27086163,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.040075727,0.1030769,0.717205,0.6494817,0.6474996,0.7802062,0.8202819,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.02648139,-0.030507771,0.6876923,0.5159879,0.6514406,0.68366593,0.65718454,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.014125846,-0.0024164957,0.8601067,0.8422469,0.84168065,0.84356433,0.8576902,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.06388572,0.055998772,0.7823397,0.7883485,0.7447677,0.77445275,0.8383385,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,-0.040151887,0.0315042,0.14291772,0.1551255,0.22307488,0.21457382,0.17442192,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,-0.06007172,-0.033442575,0.4346161,0.47940075,0.39170507,0.46124524,0.4011735,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,-0.035009604,-0.03706913,0.29109028,0.26790613,0.27005962,0.28903076,0.25402117,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,0.017046668,0.021706238,0.8201285,0.83137995,0.83725566,0.82478803,0.8418347,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,-0.019300869,-0.0065297675,0.37430504,0.41677922,0.26877716,0.38707614,0.36777526,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,0.017090848,0.046196498,0.53906864,0.51599044,0.5252595,0.5681743,0.58526516,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.062870145,-0.023437578,0.83196187,0.84578407,0.79350346,0.74565417,0.8085243,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.0901022,0.31815544,0.16177727,0.24980132,0.55088705,0.3898305,0.4799327,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,5.2344153E-4,-0.009969764,0.23106396,0.24036315,0.23977365,0.22057074,0.22109419,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.046156112,0.026376385,0.3001737,0.29296997,0.26985112,0.28039396,0.32655007,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.057054415,0.02257122,0.35133457,0.36959675,0.3504788,0.31685138,0.3739058,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,-2.67881E-4,-0.021102278,0.8548744,0.83286905,0.84253186,0.83404,0.8337721,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.011113299,-0.024575824,0.40404376,0.39687195,0.359375,0.36835462,0.37946793,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.11142262,0.20477885,-0.031172909,-0.026055919,0.18292683,0.062183324,0.17360595,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,-0.020010721,-0.039610926,0.84644914,0.8410333,0.82490915,0.8268489,0.8068382,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.14325081,0.15348922,0.5184785,0.4517203,0.5270558,0.5287169,0.67196774,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0.04357009,0.023226053,0.6597542,0.61340207,0.6714906,0.6394102,0.6829803,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,0.036074035,-0.023628853,0.7290323,0.66293865,0.64819276,0.66932935,0.7054034,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0.0096343905,-0.022540951,0.8420993,0.8228176,0.5639294,0.80992395,0.8195584,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0.04083065,0.16254614,0.42866325,0.40604377,0.4896978,0.55037874,0.5912094,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,0.025893629,-0.03535458,0.5625752,0.4863545,0.59237987,0.501327,0.5272206,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0.12879868,0.18261516,0.3942505,0.38467,0.3955523,0.44806698,0.5768657,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.053486977,0.08026285,0.6268719,0.67103696,0.6385923,0.6536478,0.7071347,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,0.020617738,0.08742252,0.2559675,0.4164996,0.2475162,0.32277226,0.34339002,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,0.028636957,0.040664054,0.8021322,0.82825917,0.82866293,0.8141593,0.84279627,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.012503461,0.015893811,0.27239913,0.26163805,0.27479595,0.27578947,0.28829294,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,-0.012709508,-0.034283664,0.84282905,0.84810126,0.8268601,0.8212549,0.8085454,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.13684681,0.031183105,0.72635335,0.65214723,0.7205882,0.62068963,0.7575365,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,0.03772849,-0.0059004673,0.74606943,0.68650794,0.71258503,0.70244044,0.7401689,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,0.09317361,-0.14936759,0.445646,0.35168195,0.43767312,0.20310478,0.2962784,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,0.060218915,0.016065136,0.856338,0.8005024,0.8508514,0.8121843,0.87240314,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,0.023296857,0.025314255,0.7827586,0.7966215,0.81228346,0.78477603,0.80807287,"{""type"":""MultiPoint"",""coordinates"":[]}"
