system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,0.07120753,0.048296597,0.542811,0.63829786,0.52024925,0.5199,0.5911076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.027234498,-0.1081637,0.5293188,0.49067715,0.35782844,0.3939206,0.4211551,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,-0.036318608,0.303192,0.3189151,0.20795977,0.28343844,0.6584257,0.6221071,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.28221148,0.30281815,0.27825513,0.41461816,0.28030044,0.2988618,0.5810733,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,-0.007884537,-0.032346457,0.27756894,0.28283593,0.26930985,0.253107,0.24522246,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,-0.08471249,-0.08291973,0.34646243,0.33111784,0.26441222,0.3482552,0.2635427,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.035259623,-0.10233208,0.29184163,0.27158836,0.2598791,0.22476918,0.18950956,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.025397958,-0.004856806,0.41993958,0.5118136,0.45084533,0.38968483,0.41508278,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.09713274,-0.014347141,0.3580667,0.5419705,0.30112508,0.4408523,0.34371957,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.011546866,-0.02784971,0.36673018,0.2563364,0.38249755,0.35042736,0.33888048,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.0024191558,0.025237845,0.74567276,0.8304231,0.7221796,0.76849145,0.77091056,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.158525,0.18813257,0.18442367,0.41485456,0.2934354,0.21403123,0.37255624,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,-0.098297834,0.067106955,0.118497655,0.12713179,0.16450608,0.28390244,0.1856046,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,-0.09439246,0.037221804,0.5437838,0.18027961,0.19747235,0.67539805,0.5810056,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.17847419,-0.029881164,0.54574394,0.2116996,0.36669314,0.3373886,0.51586276,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,-0.004508782,-0.10970496,0.6141402,0.53739566,0.3183889,0.50894403,0.50443524,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,-0.030168483,-0.022868084,0.18788923,0.20472284,0.18113281,0.19518964,0.16502115,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.011482202,-0.083827615,0.45068663,0.24753694,0.31328806,0.3553768,0.36685902,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.068396606,-0.08700881,0.36016655,0.4946714,0.395285,0.34155434,0.27315775,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,-0.052759536,0.02895836,0.17846154,0.47471744,0.32951462,0.26017943,0.2074199,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,-0.03578982,0.004087916,0.27540335,0.25974753,0.20011102,0.31528106,0.27949125,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.1267884,0.20376977,0.1301429,0.10186112,0.14609855,0.20712428,0.33391267,"{""type"":""MultiPoint"",""coordinates"":[]}"
