system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,0.019870462,0.17707837,0.44721007,0.5960885,0.50793177,0.604418,0.62428844,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.05150008,-0.05000188,0.5510328,0.5795364,0.41297513,0.44953084,0.5010309,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,-0.002337778,0.042079784,0.22330484,0.30697143,0.22967276,0.2677224,0.2653846,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.028035123,-0.022040216,0.31457925,0.45265523,0.31542027,0.32057416,0.29253903,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,-0.027656013,-0.11774623,0.5101903,0.5356671,0.41946065,0.42010012,0.3924441,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.04646908,0.11104892,0.2528053,0.35946667,0.31111112,0.31738514,0.3638542,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.08386004,0.1382447,0.14712256,0.20734449,0.29969898,0.3692273,0.28536725,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,-0.02389971,0.04043564,0.35364956,0.42539778,0.35338345,0.4179849,0.3940852,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.062360708,0.07514276,0.3262159,0.45727137,0.38548434,0.33899796,0.40135866,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,-0.013485943,0.0680898,0.12937194,0.18313842,0.17279279,0.21094768,0.19746174,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,-0.014257546,0.04360699,0.15497391,0.25030085,0.1533052,0.21283844,0.19858089,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.026471654,-0.0076045142,0.34786984,0.5374322,0.26201847,0.3137937,0.34026533,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.089203134,0.017557506,0.32056338,0.28526646,0.22904792,0.24891774,0.33812088,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,-0.033448514,0.074362755,0.23464823,0.3026219,0.23599632,0.3424595,0.30901098,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,-0.006776116,0.12841311,0.19373454,0.38143608,0.56059265,0.32892376,0.32214764,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.00149565,-0.018100757,0.17765735,0.16090584,0.13253585,0.15806095,0.1595566,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.009291372,0.013948181,0.19370209,0.22560136,0.20886533,0.19835891,0.20765027,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,-0.051192217,-0.13616236,0.37721518,0.29240257,0.4425554,0.29224506,0.24105284,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.01778902,-0.072103396,0.33143494,0.16575432,0.18890075,0.27712056,0.25933155,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,-0.060401265,0.09864336,0.3643678,0.57306004,0.49416083,0.52341247,0.46301118,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.12361949,-0.07890873,0.49725685,0.48156488,0.5104822,0.29472864,0.41834813,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,-0.01911188,0.053509977,0.09984152,0.20222428,0.170347,0.17246337,0.1533515,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.03945099,0.085935205,0.486048,0.6270252,0.4935065,0.5325322,0.5719832,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,-0.16123901,0.10807396,0.30565518,0.49951234,0.3694426,0.57496816,0.41372913,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.1436963,0.17062104,0.2851119,0.27952844,0.4120983,0.59942925,0.45573294,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,-0.023310611,0.12602977,0.14245096,0.26384062,0.23302951,0.29179135,0.26848072,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,-0.020284832,-0.093113996,0.3501441,0.1559655,0.25261688,0.27731493,0.2570301,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0.031759165,0.031954516,0.37826088,0.42756757,0.37329066,0.37845623,0.41021538,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,0.013263048,0.1139736,0.40940344,0.3502384,0.31873044,0.510114,0.52337706,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.01274973,0.06845821,0.49297574,0.5181347,0.53476185,0.54868424,0.5614339,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,-0.10619381,-0.06451624,0.44681495,0.53252035,0.42914572,0.48849252,0.3822987,"{""type"":""MultiPoint"",""coordinates"":[]}"
