system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.0021499998,0.07292531,0.51958406,0.616037,0.5643702,0.5946594,0.5925094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,-0.11902956,-0.03854826,0.37961698,0.4137375,0.36678538,0.46009827,0.3410687,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,-0.02799748,-0.09736509,0.5002046,0.52261174,0.48517054,0.430837,0.4028395,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.014460656,-0.025451053,0.7615708,0.7505835,0.76268464,0.75058043,0.73611975,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.0015733916,0.007395652,0.3256725,0.40276408,0.28280598,0.33149475,0.33306816,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.0035991513,-0.011946151,0.3262933,0.3122437,0.3663074,0.31074798,0.31434712,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.052129295,-0.0323469,0.49646804,0.34803057,0.4701434,0.51625043,0.46412113,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.18038523,-0.10891123,0.5109148,0.20749459,0.29979587,0.22161835,0.4020036,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.08051756,-0.025828721,0.3312606,0.35035816,0.34717515,0.38594943,0.30543187,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.06910268,0.12524107,0.37988058,0.49546045,0.38741723,0.43601894,0.50512165,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.12561306,0.1081938,0.5056842,0.5092166,0.53283006,0.48826495,0.613878,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,-0.0236973,-0.05730381,0.34706867,0.41388014,0.3460751,0.31346217,0.28976488,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.03437509,0.120868206,0.68108976,0.769468,0.7632058,0.76758283,0.80195796,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,-0.06754155,-0.0058843982,0.20180383,0.31838566,0.28638497,0.263461,0.19591944,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,0.016680472,0.060407076,0.22590546,0.276889,0.21340314,0.26963207,0.28631255,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.19114405,0.15005329,0.48133722,0.6941773,0.38386148,0.44024646,0.6313905,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.0841492,0.072780326,0.2951414,0.21266346,0.291954,0.28377253,0.36792174,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,-0.009908246,-0.004952637,0.7452471,0.71682465,0.75757575,0.7502028,0.7402945,"{""type"":""MultiPoint"",""coordinates"":[]}"
