system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,0.09420917,0.10746893,0.60701996,0.6259713,0.5928771,0.6202797,0.71448886,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,-0.007333919,0.03812573,0.29714465,0.4332457,0.35183164,0.3426043,0.33527038,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.017030826,0.15490913,0.37903583,0.4634073,0.41062802,0.5169141,0.53394496,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.0035991513,-0.011946151,0.3262933,0.33373028,0.3663074,0.31074798,0.31434712,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,-0.008168601,-0.021346822,0.6997094,0.6471365,0.6945222,0.6865312,0.67836255,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.18038523,-0.10891123,0.5109148,0.20749459,0.29979587,0.22161835,0.4020036,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.09275731,-0.05407126,0.71904933,0.65267247,0.7200275,0.7577354,0.664978,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.12561306,0.1081938,0.5056842,0.5092166,0.53283006,0.48826495,0.613878,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,-0.06754155,-0.0058843982,0.20180383,0.31838566,0.28638497,0.263461,0.19591944,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.194811,0.15372024,0.48133722,0.69716424,0.38386148,0.44024646,0.63505745,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.0841492,0.072780326,0.2951414,0.21266346,0.291954,0.28377253,0.36792174,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.038878955,0.13728987,0.35621664,0.4265464,0.41158628,0.45462754,0.4935065,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.022220979,0.10015813,0.36876425,0.3796391,0.39526227,0.4467014,0.4689224,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,-0.031231856,0.0443626,0.35962877,0.44159865,0.36191905,0.43522322,0.40399137,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,-0.018485637,0.10912947,0.27499008,0.31508553,0.3428822,0.40260518,0.38411954,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.03699208,-0.07383262,0.39200863,0.35959542,0.3214644,0.28118393,0.318176,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,-0.034039423,-0.056465365,0.8668899,0.8562351,0.8566474,0.84446394,0.81042457,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,-0.033751134,-0.19509518,0.44937333,0.28850558,0.2747983,0.28802928,0.25427815,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.043047003,-0.14237092,0.51782364,0.4925562,0.5486405,0.4184997,0.37545273,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,-0.10871079,-0.07526224,0.26656434,0.30697137,0.26065573,0.3000129,0.19130209,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,-0.053212445,0.003350937,0.7080368,0.7248044,0.72779924,0.76460016,0.71138775,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,-1.8229813E-4,0.016034387,0.71044564,0.6648914,0.6885841,0.72666234,0.72648,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.022074074,0.0028802191,0.6584531,0.6421529,0.54651165,0.6392593,0.6613333,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,-0.028947875,0.010245033,0.6042699,0.5550725,0.5507576,0.64346284,0.61451495,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.05721629,0.027243983,0.22078593,0.54148,0.24225865,0.3052462,0.24802992,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.016296204,0.046357624,0.70677,0.7105868,0.6701325,0.7368314,0.75312763,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,0.013700602,0.12668574,0.37818295,0.5356169,0.38861838,0.49116808,0.5048687,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,0.07397635,0.10074211,0.45207748,0.55303276,0.4567939,0.4788432,0.55281955,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,-0.10599262,-0.0809083,0.6184635,0.57126147,0.5304606,0.64354783,0.5375552,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.024282236,0.045594405,0.30394363,0.40521234,0.24877039,0.32525578,0.34953803,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,-0.218138,-0.6961562,0.51629573,0.58675534,0.09318616,0.03827751,-0.17986047,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0,0.03390966,0.17805375,0.34179083,0.5484558,0.39375177,0.4859349,0.5198446,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0,-0.010083913,0.24888614,0.2702628,0.65,0.40747967,0.52923286,0.51914895,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0,0.029225027,0.117497556,0.5634596,0.4935083,0.544491,0.6517321,0.68095714,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0,0.0068180417,0.023675673,0.8376006,0.83948636,0.86511964,0.8544582,0.86127627,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.019712368,0.049295366,0.5901249,0.6472431,0.58830005,0.61970794,0.6394203,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.044126134,0.10540872,0.49168026,0.5583837,0.49675325,0.55296284,0.597089,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0,0.08778373,0.15540561,0.3022487,0.35371685,0.33502698,0.36987057,0.4576543,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,-0.0035784382,0.055922072,0.4532374,0.4923077,0.50592524,0.51273793,0.5091595,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.0113550965,-0.11582821,0.5679907,0.51627547,0.45672256,0.44080743,0.4521625,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,-0.001959386,0.02720547,0.75885165,0.79712963,0.8217295,0.78801656,0.7860571,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0,0.14079005,0.13731025,0.3727777,0.40200493,0.42979208,0.3692979,0.51008797,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.03879582,0.14845037,0.50363445,0.49830508,0.50131327,0.61328906,0.6520849,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0.06642559,-0.004079172,0.63087344,0.5701589,0.6663987,0.56036866,0.6267943,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,-0.025173882,-0.064719275,0.33846578,0.20341344,0.27315915,0.29892036,0.2737465,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,-0.031565044,0.09579394,0.49870032,0.53148913,0.51501584,0.6260593,0.5944943,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0.022350486,0.06477342,0.37446102,0.4895449,0.34659526,0.41688398,0.43923444,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0,-0.040151592,0.01754965,0.38968232,0.5578978,0.43701494,0.44738355,0.40723196,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0.01436112,-0.012323945,0.8282235,0.8549433,0.8485437,0.80153847,0.8158996,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.05623089,-0.0019401029,0.35340908,0.43199098,0.35023683,0.2952381,0.35146898,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,-0.020899756,-0.051637337,0.55305755,0.50352114,0.5516344,0.52232,0.5014202,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,-0.0020153157,-0.006475291,0.5121163,0.40047097,0.3819779,0.50765634,0.50564104,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,-0.0073629627,0.03071952,0.7655624,0.7995697,0.78356856,0.8036449,0.79628193,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0.07978665,0.11484929,0.43880597,0.54556614,0.45265445,0.4738686,0.55365527,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.101184525,-0.01568022,0.5672652,0.51836735,0.3082634,0.4504005,0.551585,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,-0.09581049,-0.004441965,0.63201195,0.68641645,0.58282626,0.7233805,0.62757,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,0.02576021,0.109389775,0.29112554,0.3939795,0.35295677,0.3747551,0.40051532,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,0.009269403,0.031090977,0.65435743,0.6381766,0.65884274,0.67617905,0.6854484,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,0.008039625,0.020546986,0.66757894,0.56136894,0.654979,0.68008626,0.6881259,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0.05486648,0.035879526,0.3626327,0.27282956,0.35174462,0.34364575,0.3985122,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0,-0.005920701,0.05296329,0.55123067,0.5709833,0.59801924,0.6101147,0.604194,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0,-0.051332653,-0.062365707,0.8561035,0.8670618,0.84661525,0.8450704,0.79373777,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0,0.002054861,0.061408237,0.7598671,0.81422925,0.84024304,0.8192204,0.8212753,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0,-0.009281154,-0.0033040035,0.8476331,0.83358896,0.872721,0.8536103,0.8443291,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,0.0050783637,0.069995195,0.6431631,0.6377905,0.7121556,0.70807993,0.7131583,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0,-0.035916124,0.064471476,0.6014053,0.6435882,0.73962694,0.7017929,0.6658768,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0,-0.0060002226,-0.119523406,0.6700699,0.64673156,0.547023,0.5565467,0.55054647,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0,0.020589672,0.0669947,0.30381167,0.37345532,0.47019073,0.3502167,0.37080637,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0,0.1426955,0.16276221,0.24038783,0.38660908,0.36419192,0.26045454,0.40315005,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,-0.030487143,-0.002022929,0.82958853,0.8677236,0.8423087,0.8580528,0.8275656,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0,0.07827245,0.10373182,0.2982917,0.38579655,0.3727422,0.3237511,0.40202355,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0,-0.10646244,0.035654556,0.4726257,0.60835177,0.5220244,0.6147427,0.5082803,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0,0.053460177,0.033531364,0.23736781,0.2787265,0.19438669,0.217439,0.27089918,"{""type"":""MultiPoint"",""coordinates"":[]}"
